canonical_id,historical_version,lineage,repo,branch_or_ref,status,domain,primary_evidence,mechanism,allowed_claim,forbidden_claim,supersedes,next_residual
EARLY_NEURAL_STAIRCASE_V1,V1,retention-plasticity,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,model,experiments/METALOGIC_NEURAL_DEVELOPMENTAL_STAIRCASE_V1.py,neural developmental staircase,Historical precursor only,Do not use as current developmental evidence,,reconcile primary run
ALPHABET_FALSIFICATION_V2,V2,alphabet,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,reasoning-alphabet,experiments/METALOGIC_ALPHABET_FALSIFICATION_V2.py,alphabet falsification,Historical precursor only,Do not claim universal ontology,,reconcile primary run
WAKE_SLEEP_V2_V6,V2-V6,retention-plasticity,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,model,experiments/METALOGIC_WAKE_SLEEP_STAIRCASE_V2.py,wake-sleep retention experiments,Historical precursor only,Do not use as integrated capability OS,,reconcile primary runs
PROTECTED_CONSOLIDATION_V7,V7,retention-plasticity,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,experiments/METALOGIC_PROTECTED_CONSOLIDATION_V7.py,protected consolidation precursor,Historical precursor to V18B,Do not upgrade beyond audited V18B,,reconcile run
THREE_SKILL_V9_V10,V9-V10,retention-plasticity,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,experiments/METALOGIC_THREE_SKILL_REPLICATION_V10.py,multi-skill retention/replication,Historical precursor only,Do not claim open-ended accumulation,,reconcile runs
QUIXBUGS_REPAIR_CENSUS_V11,V11,natural-code,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,experiments/QUIXBUGS_REPAIR_CENSUS_V11.py,external repair census,Corpus-mechanism precursor,Do not infer constructor learning,,reconcile run
QUIXBUGS_LIFELONG_V12,V12,natural-code,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,experiments/METALOGIC_QUIXBUGS_LIFELONG_V12.py,lifelong repair precursor,Historical accumulation precursor,Do not infer developmental compounding,,reconcile run
FRESH_MUTATION_V13,V13,natural-code,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,experiments/QUIXBUGS_FRESH_MUTATION_CENSUS_V13.py,fresh mutation census,Historical precursor only,Do not infer operator invention,,reconcile run
FRESH_CODE_STAIRCASE_V14,V14,natural-code,heathsanchez/triskelion,main,HISTORICAL_REVIEW_NEEDED,code,experiments/METALOGIC_FRESH_CODE_STAIRCASE_V14.py,fresh code developmental staircase,Historical precursor only,Do not treat as crown-jewel proof,,reconcile run
PRIMITIVE_COMPOSITION_V15,V15,capability-algebra,heathsanchez/triskelion,main,BOUNDED_PASS,capability-algebra,results/ATTESTATION_LEDGER.md,verified primitive composition,Bounded evidence for explicit composition,Not unrestricted cognitive algebra,,integrate into runtime
VERIFIED_COMPOSER_V16,V16,capability-algebra,heathsanchez/triskelion,main,BOUNDED_PASS,capability-algebra,results/ATTESTATION_LEDGER.md,verified composer,Bounded verified composition,Not autonomous invention,,integrate into runtime
HIERARCHICAL_CHUNKING_V17,V17,capability-algebra,heathsanchez/triskelion,main,BOUNDED_PASS,capability-algebra,results/ATTESTATION_LEDGER.md,verified chunking,Verified composites can be reused as bounded units,Not infinite hierarchy,,integrate into runtime
ADAPTIVE_CONSOLIDATION_V18B,V18B,retention-plasticity,heathsanchez/triskelion,main,ATTESTED,code,results/ATTESTATION_LEDGER.md,protected consolidation and reload,Bounded protected consolidation preserves measured ancestors/composites and persistence,Not full developmental-state portability,,full-state serialization
REUSABLE_WORDS_V19,V19,capability-algebra,heathsanchez/triskelion,main,BOUNDED_PASS,capability-algebra,results/ATTESTATION_LEDGER.md,reusable verified words,Bounded reusable composites exist,Not universal primitives,,runtime integration
OPERATOR_ORDER_V20,V20,capability-algebra,heathsanchez/triskelion,main,BOUNDED_PASS,capability-algebra,results/ATTESTATION_LEDGER.md,operator ordering,Order carries bounded functional structure,Not universal grammar,,cross-domain causal order
TYPED_IR_V21,V21,capability-algebra,heathsanchez/triskelion,main,BOUNDED_PASS,typed-ir,results/ATTESTATION_LEDGER.md,typed capability IR,Typed explicit capability representation works in bounded setting,Not full Capability OS,,unified state object
FOUR_STATE_IR_V22,V22,capability-algebra,heathsanchez/triskelion,main,RESULT_ONLY,typed-ir,results/ATTESTATION_LEDGER.md,four-state IR,Committed result/script exists,No CI-attested headline,,rerun if needed
METAMATH_V23,V23,capability-algebra,heathsanchez/triskelion,main,BOUNDED_PASS,math,results/ATTESTATION_LEDGER.md,metamath composition,Bounded composition transfers to math-like substrate,Not general theorem discovery,,integrated math stream
DISCOVERABILITY_RATCHET_V24B,V24B,discoverability,heathsanchez/triskelion,main,BOUNDED_PASS,finite-world,results/PROGRESS_V24_V32_2026-08-14.md,prior capability changes later discoverability,Cold/oracle/ancestor-ablation chain supports bounded causal discoverability growth,Not natural open-ended development,V24 ambiguity,external reproduction
GENERIC_CONSTRUCTOR_SYNTHESIS_V25,V25,discoverability,heathsanchez/triskelion,main,BOUNDED_PASS,finite-world,results/PROGRESS_V24_V32_2026-08-14.md,generic AST synthesis of later capabilities,Later capabilities synthesized from generic constructor grammar,Not meta-language escape,V24B,cross-substrate replication
CROSS_SUBSTRATE_RATCHET_V26,V26,discoverability,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/PROGRESS_V24_V32_2026-08-14.md,reproduce chain in control-flow objects,Developmental structure reproduced on second substrate,Not natural-world constructor growth,V25,shared grammar
SHARED_GRAMMAR_RATCHET_V27,V27,discoverability,heathsanchez/triskelion,main,BOUNDED_PASS,code,results/PROGRESS_V24_V32_2026-08-14.md,one shared recursive grammar,One fixed grammar supports three-generation chain,Later programs still in supplied meta-grammar,V26,closure-expanding external operator
