experiment_id,date,domain,baseline_representation,intervention,ablation,primary_residual_before,separator_question,opposing_discriminators,semantic_verifier,resource_metric,result,post_result_residual,verdict,retained_knowledge,evidence_level,run_or_artifact
LEAN-A5,2026-08-15,Lean Kernel Arena,"pinned sokonanoda / existing evaluation regime","A5 canonical-environment-threading variant","restore Lambda closure canonicalization with key_env","R5 Applicability","Can the same evaluator mechanism retain Cedar gains without broad CSLib penalty?","Cedar|CSLib|Mathlib|Std|init|init-prelude","Arena-compatible correctness suites","wall/CPU/RSS under frozen runner","Cedar ~31.6s -> ~23.4s (~26% faster); CSLib ~88s vs ~33.7s prior; Mathlib run killed after ~9m","R5 Applicability","REJECT_GLOBAL_ADMISSION","A mechanism can be strongly favorable on Cedar and catastrophically unfavorable on CSLib; global winner selection is the wrong problem","hosted prior run","A5 safety ablation run 31878747712"
LEAN-A6,2026-08-15,Lean Kernel Arena,"A5 lineage","more aggressive eager/scoped evaluation variant","restore safer path","R5 Applicability","Can greater eagerness preserve speed while remaining complete/sound across larger suites?","Cedar|CSLib|Mathlib|Std|init|init-prelude","Arena-compatible correctness suites","wall/CPU/RSS under frozen runner","Fast enough on some paths but incomplete/unsound on larger suites","R9 Soundness","REJECT","Performance obtained without required semantic coverage is inadmissible","hosted prior run","corrected focused run 31881003667; commit de239d4c462c6b53b33837c3eb5408b9ec799cb8"
SPEC-V124,2026-08-16,Specimen/Lean metaprogramming,"V120 K2 binder-role repair","direct real-Strata replay","remove K2","R6 Representation","Does K2 remove the direct Strata obstruction?","direct Strata target|existing workaround","Lean compiler / frozen Strata slice","compile success","K2 still failed; residual changed to hidden computed parameter equality `unk = a_1.mono` with Type1/Type mismatch","R6 Representation","OBSTRUCTED","V120 solved binder role but exposed a second computed-family-parameter barrier","hosted","run 31893364853; artifact 9249137710"
SPEC-V125,2026-08-16,Specimen/Lean metaprogramming,"V120 K2","matched Type vs Type1 fixed-parameter arms","none","R6 Representation","Is higher universe alone sufficient to reproduce V124?","U0 Type|U1 Type1","Lean compiler","compile success","Both matched arms passed","R6 Representation","REJECT_HYPOTHESIS","Type1 alone is not the missing distinction","precommitted+hosted","run 31893541675; artifact 9249182587"
SPEC-V126,2026-08-16,Specimen/Lean metaprogramming,"V120 K2","computed-parameter bridge MAP arm","ID arm","R6 Representation","Does replacing direct family parameter p with deterministic lift(p) reproduce the residual?","ID direct parameter|MAP computed parameter","Lean compiler","compile success","ID passed; MAP failed with fresh unknown equality to deterministic transformed input","R6 Representation","SEPARATED","Computed family-parameter flattening is a sharper mechanism than universe level","precommitted+hosted","run 31893628193; artifact 9249202680"
SPEC-V127,2026-08-16,Specimen/Lean metaprogramming,"V120 K2","preserve computed applications whose free-variable user names are top-level inputs","remove K3","R6 Representation","Can name-based fixedness identify deterministic computed parameters before unification?","V126 MAP|ID and prior controls","Lean compiler + protected controls","compile success","MAP still failed; controls passed","R6 Representation","REJECT","Constructor-local names are the wrong coordinate before conclusion unification","precommitted+hosted","run 31893855943; artifact 9249266284"
SPEC-V128,2026-08-16,Specimen/Lean metaprogramming,"V120 K2","preserve computed applications whose dependencies occur in relation input positions","remove K4 retaining K2","R6 Representation","Does input-position structure recover the computed-parameter acquisition?","V126 MAP|V126 ID|V125 U1|V119 explicit/implicit|V122 field/recursive","Lean compiler + frozen controls","compile success","K2 MAP failed; K2+K4 MAP passed; controls passed; ablation restored failure","R5 Applicability","VERIFIED_CAUSAL_NOT_ADMITTED","Input-position structure causally identifies a useful class but scope remains unproven","precommitted+hosted","run 31894188189; artifact 9249352289"
SPEC-V129,2026-08-16,Specimen/Lean metaprogramming,"ordinary Specimen suite + exact K2+K4 composition","full unfiltered protected-suite validation","remove K4","R5 Applicability","Does causally successful K4 preserve all existing behavior?","137/137 baseline suite|K2+K4 suite","full Specimen test suite","suite pass/fail","Baseline 137/137 passed; K2+K4 broke seven protected areas including function-call and dependent-argument tests","R5 Applicability","REJECT_ADMISSION","Input-determined is necessary for V126-like acquisition but not sufficient for bypassing flattening; ordinary computed term/pattern applications still need flattening","precommitted+hosted","run 31894305039; artifact 9249390803"
SPEC-V130,2026-08-16,Specimen/Lean metaprogramming,"original flattening semantics + V120 K2","diagnostic classification by direct constructor fixed-parameter role","none","R5 Applicability","Does direct constructor fixed-parameter role separate V126Lift(p) from ordinary computed terms such as x*x?","V126 MAP|protected multiplication fixture","Lean compiler diagnostics","classification only","V126Lift(p): ctor_fixed_parameter=false; x*x: ctor_fixed_parameter=false","R6 Representation","REJECT_HYPOTHESIS","The useful computed-parameter case is not distinguished by direct constructor fixed-parameter occurrence; likely structural role lives in dependent output type/family information","precommitted+hosted","run 31895252305; artifact 9249621542"
SPEC-V131,2026-08-16,Specimen/Lean metaprogramming,"original flattening semantics + V120 K2","diagnostic classification by occurrence in output-position dependent type","none","R6 Representation","Does dependent output-type/family role separate V126Lift(p) from x*x?","V126 MAP|V126 ID|protected multiplication fixture","Lean compiler diagnostics","classification only","PENDING","PENDING","PROPOSED","If separator holds, a future repair can preserve only input-determined family/index information while keeping ordinary computed value terms flattenable","precommitted","run 31895340880"
LEAN-DAG-0001,2026-08-16,Lean Kernel Arena,"current tree/environment identity and evaluation regime","canonical identity/DAG for semantically equivalent proof/environment structures","disable canonical identity while retaining all other logic","R3 Redundancy","Does stable shared identity remove repeated normalization/reconstruction on duplication-heavy paths without changing low-duplication behavior or shifting cost elsewhere?","duplication-heavy Cedar-style path|low/reversed-benefit CSLib path|init-prelude control","Arena-compatible checker semantics","predeclared: duplicate canonical computations + CPU/wall + RSS + construction/activation cost","PROPOSED","PENDING","PROPOSED","Must distinguish R3/R8 benefit from R4 eagerness and R5 applicability; R12 total-cost gate mandatory","precommit pending execution","see protocols/LEAN_DAG_0001_CANONICAL_IDENTITY_SEPARATOR_PRECOMMIT.md"
